username,count,date
adrianmg,0,2021-05-25
adrianmg,1,2021-05-26
adrianmg,0,2021-05-27
adrianmg,0,2021-05-28
adrianmg,0,2021-05-29
adrianmg,0,2021-05-30
adrianmg,0,2021-05-31
adrianmg,0,2021-06-01
adrianmg,0,2021-06-02
adrianmg,2,2021-06-03
adrianmg,0,2021-06-04
adrianmg,1,2021-06-05
adrianmg,0,2021-06-06
adrianmg,0,2021-06-07
adrianmg,0,2021-06-08
adrianmg,6,2021-06-09
adrianmg,0,2021-06-10
adrianmg,0,2021-06-11
adrianmg,0,2021-06-12
adrianmg,1,2021-06-13
adrianmg,1,2021-06-14
adrianmg,0,2021-06-15
adrianmg,0,2021-06-16
adrianmg,0,2021-06-17
adrianmg,0,2021-06-18
adrianmg,0,2021-06-19
adrianmg,0,2021-06-20
adrianmg,1,2021-06-21
adrianmg,0,2021-06-22
adrianmg,0,2021-06-23
adrianmg,0,2021-06-24
adrianmg,0,2021-06-25
adrianmg,0,2021-06-26
adrianmg,0,2021-06-27
adrianmg,0,2021-06-28
adrianmg,0,2021-06-29
adrianmg,0,2021-06-30
adrianmg,0,2021-07-01
adrianmg,0,2021-07-02
adrianmg,0,2021-07-03
adrianmg,0,2021-07-04
adrianmg,0,2021-07-05
adrianmg,0,2021-07-06
adrianmg,0,2021-07-07
adrianmg,0,2021-07-08
adrianmg,0,2021-07-09
adrianmg,0,2021-07-10
adrianmg,0,2021-07-11
adrianmg,0,2021-07-12
adrianmg,0,2021-07-13
adrianmg,2,2021-07-14
adrianmg,0,2021-07-15
adrianmg,0,2021-07-16
adrianmg,0,2021-07-17
adrianmg,0,2021-07-18
adrianmg,1,2021-07-19
adrianmg,0,2021-07-20
adrianmg,0,2021-07-21
adrianmg,0,2021-07-22
adrianmg,0,2021-07-23
adrianmg,0,2021-07-24
adrianmg,0,2021-07-25
adrianmg,0,2021-07-26
adrianmg,0,2021-07-27
adrianmg,0,2021-07-28
adrianmg,1,2021-07-29
adrianmg,0,2021-07-30
adrianmg,0,2021-07-31
adrianmg,0,2021-08-01
adrianmg,0,2021-08-02
adrianmg,1,2021-08-03
adrianmg,11,2021-08-04
adrianmg,16,2021-08-05
adrianmg,11,2021-08-06
adrianmg,1,2021-08-07
adrianmg,18,2021-08-08
adrianmg,21,2021-08-09
adrianmg,10,2021-08-10
adrianmg,108,2021-08-11
adrianmg,8,2021-08-12
adrianmg,32,2021-08-13
adrianmg,9,2021-08-14
adrianmg,27,2021-08-15
adrianmg,30,2021-08-16
adrianmg,10,2021-08-17
adrianmg,2,2021-08-18
adrianmg,9,2021-08-19
adrianmg,13,2021-08-20
adrianmg,18,2021-08-21
adrianmg,0,2021-08-22
adrianmg,1,2021-08-23
adrianmg,8,2021-08-24
adrianmg,2,2021-08-25
adrianmg,1,2021-08-26
adrianmg,0,2021-08-27
adrianmg,0,2021-08-28
adrianmg,0,2021-08-29
adrianmg,0,2021-08-30
adrianmg,0,2021-08-31
adrianmg,4,2021-09-01
adrianmg,0,2021-09-02
adrianmg,1,2021-09-03
adrianmg,1,2021-09-04
adrianmg,13,2021-09-05
adrianmg,5,2021-09-06
adrianmg,1,2021-09-07
